Latitude,Longitude,Genus,Date.Planted,Diameter.Breast.Height,Useful.Life.Expectency.Value,Located.in,Year.Planted
-37.81467029,144.9798474,Acacia,2/9/2016,NA,NA,Park,2016
-37.81286068,144.9800025,Magnolia,1/10/2019,NA,NA,Park,2019
-37.81573308,144.9811998,Schinus,13/10/1998,101,60,Park,1998
-37.81515101,144.9800017,Ulmus,10/12/1998,124,5,Park,1998
-37.81615124,144.9793143,Elaeocarpus,14/05/2020,NA,NA,Park,2020
-37.81406295,144.9809018,Ulmus,13/10/1998,121,10,Park,1998
-37.81221844,144.9783763,Cedrus,14/10/1998,80,30,Park,1998
-37.81200314,144.9795205,Syzygium,31/07/2013,NA,NA,Park,2013
-37.81442545,144.9797167,Cornus,5/5/2015,NA,NA,Park,2015
-37.81092225,144.9754221,Quercus,27/05/2013,NA,NA,Park,2013
-37.81494999,144.9758582,Agathis,16/10/1998,85,60,Park,1998
-37.81441763,144.9812156,Ulmus,13/10/1998,105,10,Park,1998
-37.81143702,144.9800144,Ulmus,1/1/2000,22,80,Park,2000
-37.81075001,144.98152,Grevillea,14/05/2014,NA,NA,Park,2014
-37.81531112,144.9798322,Syzygium,4/12/2014,NA,NA,Park,2014
-37.81095184,144.9822808,Grevillea,6/6/2013,NA,NA,Park,2013
-37.8147376,144.982959,Tilia,11/8/2014,NA,NA,Street,2014
-37.81440534,144.9772177,Ulmus,20/01/2006,5,80,Park,2006
-37.81235003,144.97979,Araucaria,31/07/2013,NA,NA,Park,2013
-37.81598227,144.9780967,Pittosporum,10/12/1998,13,20,Park,1998
-37.81225122,144.9824369,Ulmus,16/10/1998,122,10,Park,1998
-37.81506471,144.9799248,Syzygium,4/12/2014,NA,NA,Park,2014
-37.81413103,144.9807461,Ulmus,13/10/1998,111,10,Park,1998
-37.81318769,144.9817617,Quercus,16/10/1998,67,30,Park,1998
-37.81621782,144.9802905,Elaeocarpus,12/5/2020,NA,NA,Park,2020
-37.8162154,144.9801441,Grevillea,12/5/2020,NA,NA,Park,2020
-37.81616141,144.9794716,Elaeocarpus,14/05/2020,NA,NA,Park,2020
-37.81617252,144.9796411,Elaeocarpus,14/05/2020,NA,NA,Park,2020
-37.81325123,144.9758296,Chamaerops,22/10/2019,NA,NA,Park,2019
-37.81559736,144.9767004,Acacia,24/08/2017,NA,NA,Street,2017
-37.81061408,144.9783873,Ulmus,14/10/1998,100,20,Park,1998
-37.81639139,144.9817204,UNKNOWN,12/5/2020,NA,NA,Park,2020
-37.81329244,144.9800504,Ulmus,14/10/1998,117,5,Park,1998
-37.81181502,144.9796968,Syzygium,15/05/2015,NA,NA,Park,2015
-37.81390147,144.9749411,Aesculus,16/10/1998,39,20,Park,1998
-37.81524752,144.9824403,Phoenix,13/10/1998,73,60,Park,1998
-37.81290793,144.9797205,Ulmus,14/10/1998,100,5,Park,1998
-37.81565795,144.9821112,Ulmus,13/10/1998,126,10,Park,1998
-37.8149831,144.9825553,Agathis,20/07/2010,1,80,Park,2010
-37.81077251,144.9802049,Populus,14/10/1998,102,20,Park,1998
-37.81376601,144.9794359,Quercus,13/10/1998,67,60,Park,1998
-37.81618696,144.9799207,Elaeocarpus,14/05/2020,NA,NA,Park,2020
-37.81523261,144.9767132,Lophostemon,16/10/1998,78,60,Park,1998
-37.81224973,144.9800843,Tilia,14/10/1998,52,30,Park,1998
-37.81623788,144.9829115,Cinnamomum,3/12/2018,NA,NA,Street,2018
-37.81119191,144.9827537,Grevillea,6/6/2013,NA,NA,Park,2013
-37.81639127,144.9818658,Elaeocarpus,11/5/2020,NA,NA,Park,2020
-37.81297135,144.9800345,Stenocarpus,22/09/2015,NA,NA,Park,2015
-37.81624617,144.9769079,Platanus,20/11/1997,55,10,Street,1997
-37.81333276,144.9754823,Phoenix,1/1/2000,60,60,Park,2000
-37.81585078,144.9754636,Ulmus,10/12/1998,73,30,Park,1998
-37.81197885,144.9796175,Ligustrum,,NA,NA,Park,NA
-37.8142218,144.9749228,Ulmus,2/1/2000,133,10,Park,2000
-37.81594653,144.9777996,Pittosporum,10/12/1998,18,30,Park,1998
-37.8154371,144.9781671,Phoenix,10/12/1998,NA,NA,Park,1998
-37.81469031,144.9806733,Agathis,20/01/2006,NA,NA,Park,2006
-37.81331555,144.9802575,Syagrus,19/10/2015,NA,NA,Park,2015
-37.81565995,144.9772171,Acacia,24/08/2017,NA,NA,Street,2017
-37.81424815,144.9819746,Quercus,5/6/2007,5,80,Park,2007
-37.81289089,144.9780139,Ulmus,14/10/1998,128,20,Park,1998
-37.81630799,144.9810242,UNKNOWN,12/5/2020,NA,NA,Park,2020
-37.81228579,144.9793654,Ulmus,14/10/1998,NA,NA,Park,1998
-37.81493445,144.974572,Ulmus,1/1/2000,NA,NA,Street,2000
-37.81170658,144.9826912,Butia,15/10/1998,52,60,Park,1998
-37.81207203,144.9796649,Agathis,18/05/2015,NA,NA,Park,2015
-37.81171742,144.9825084,Cordyline,15/10/1998,NA,NA,Park,1998
-37.81635182,144.981373,Grevillea,12/5/2020,NA,NA,Park,2020
-37.8153804,144.979484,Syzygium,4/12/2014,NA,NA,Park,2014
-37.81636256,144.9794142,Corymbia,10/9/1998,58,30,Park,1998
-37.81538234,144.9818883,Ulmus,13/10/1998,123,10,Park,1998
-37.81245457,144.979643,Agathis,,NA,NA,Park,NA
-37.81529377,144.9807856,Platanus,13/10/1998,NA,NA,Park,1998
-37.81355538,144.9816832,Cedrus,16/10/1998,101,30,Park,1998
-37.81406079,144.9810491,Phoenix,13/10/1998,75,60,Park,1998
-37.81597213,144.9780047,Pittosporum,10/12/1998,17,30,Park,1998
-37.81165934,144.9788013,Ulmus,14/10/1998,NA,NA,Park,1998
-37.81493173,144.9799531,Acacia,16/10/2014,NA,NA,Park,2014
-37.81195756,144.9830597,Quercus,14/07/2000,33,80,Park,2000
-37.81437918,144.9806077,Pittosporum,11/10/2019,NA,NA,Park,2019
-37.81284227,144.9804317,Ulmus,14/10/1998,19,10,Park,1998
-37.81597642,144.9782495,Pittosporum,10/12/1998,13,20,Park,1998
-37.81169626,144.9750023,Quercus,21/11/1997,73,60,Park,1997
-37.81303244,144.9772045,Celtis,16/10/1998,63,30,Park,1998
-37.81316962,144.9826,Stenocarpus,16/10/1998,50,20,Park,1998
-37.81495192,144.9808675,Ulmus,,7,80,Park,NA
-37.81264508,144.9803313,Phoenix,15/05/2015,NA,NA,Park,2015
-37.81261309,144.9828864,Araucaria,14/07/2000,20,80,Park,2000
-37.81164811,144.979848,Cordyline,14/10/1998,40,30,Park,1998
-37.81644614,144.9815128,Aesculus,14/11/2016,NA,NA,Park,2016
-37.8120744,144.9804491,Ficus,14/10/1998,230,60,Park,1998
-37.81383126,144.976796,Corymbia,26/11/2008,7,80,Park,2008
-37.81409686,144.9756389,Cedrus,16/10/1998,79,30,Park,1998
-37.8125525,144.9814859,Quercus,16/10/1998,NA,NA,Park,1998
-37.81616303,144.9795027,Elaeocarpus,14/05/2020,NA,NA,Park,2020
-37.81060538,144.9794349,Pinus,6/6/2013,NA,NA,Park,2013
-37.81237845,144.9823939,Pinus,16/10/1998,103,60,Park,1998
-37.81574082,144.9757453,Eucalyptus,10/12/1998,NA,NA,Park,1998
-37.81377929,144.9766669,Eucalyptus,15/11/2019,NA,NA,Park,2019
-37.81600815,144.9785015,Pittosporum,10/12/1998,17,20,Park,1998
-37.8161592,144.9792533,Grevillea,14/05/2020,NA,NA,Park,2020
-37.81470329,144.9781789,Acer,10/12/1998,NA,NA,Park,1998
-37.8119451,144.9784545,Cedrus,14/10/1998,NA,NA,Park,1998
-37.81620315,144.9801604,Elaeocarpus,12/5/2020,NA,NA,Park,2020
-37.81129563,144.9819333,Jacaranda,15/10/1998,36,60,Park,1998
-37.81458683,144.9747532,Phoenix,13/07/2000,54,60,Park,2000
-37.81306354,144.9788369,Ginkgo,6/6/2007,5,80,Park,2007
-37.81508292,144.979904,UNKNOWN,10/6/2015,NA,NA,Park,2015
-37.81486198,144.9798956,Syzygium,2/9/2016,NA,NA,Park,2016
-37.8157247,144.9777861,Acacia,24/08/2017,NA,NA,Street,2017
-37.81468518,144.9777122,Ulmus,10/12/1998,122,10,Park,1998
-37.81621974,144.9803239,Elaeocarpus,12/5/2020,NA,NA,Park,2020
-37.81460764,144.977983,Ulmus,10/12/1998,167,20,Park,1998
-37.81344078,144.9802342,Livistona,22/09/2015,NA,NA,Park,2015
-37.81632671,144.9791998,Pinus,10/9/1998,NA,NA,Park,1998
-37.813155,144.981011,Ulmus,15/10/1998,37,60,Park,1998
-37.81574221,144.9755168,Corymbia,10/12/1998,27,30,Park,1998
-37.81398317,144.9776285,Corymbia,1/1/2000,29,60,Street,2000
-37.81136767,144.9795544,Metasequoia,1/1/2000,23,80,Park,2000
-37.81596302,144.9781146,Pittosporum,10/12/1998,11,20,Park,1998
-37.81105322,144.9784503,Chamaerops,14/10/1998,0,60,Park,1998
-37.81581391,144.978552,Ulmus,10/12/1998,67,5,Street,1998
-37.81294331,144.9800497,Grevillea,19/08/2016,NA,NA,Park,2016
-37.81612357,144.9787737,Ulmus,10/12/1998,18,80,Park,1998
-37.81622343,144.9802395,Fraxinus,12/5/2020,NA,NA,Park,2020
-37.81625898,144.9784667,Ulmus,10/12/1998,82,20,Park,1998
-37.81254713,144.9802899,Syzygium,15/05/2015,NA,NA,Park,2015
-37.81501618,144.9799012,Syzygium,4/12/2014,NA,NA,Park,2014
-37.81627165,144.98321,Cinnamomum,3/12/2018,NA,NA,Street,2018
-37.81629939,144.9810427,Elaeocarpus,11/5/2020,NA,NA,Park,2020
-37.81067804,144.9829372,Pinus,31/07/2013,NA,NA,Park,2013
-37.81631697,144.9812167,Elaeocarpus,11/5/2020,NA,NA,Park,2020
-37.81608627,144.9782598,Ulmus,10/12/1998,15,1,Park,1998
-37.81144453,144.9816297,Syagrus,1/9/2015,NA,NA,Park,2015
-37.81499596,144.9770437,Phoenix,2/1/2000,72,60,Park,2000
-37.81470357,144.9808106,Agathis,16/07/2014,NA,NA,Park,2014
-37.81300932,144.9798105,Ulmus,14/10/1998,143,10,Park,1998
-37.81409922,144.980326,Ulmus,13/10/1998,112,10,Park,1998
-37.81605005,144.9786483,Pittosporum,10/12/1998,15,20,Park,1998
-37.81475429,144.9800005,Acacia,16/10/2014,NA,NA,Park,2014
-37.81391834,144.9754348,Ficus,16/10/1998,150,20,Park,1998
-37.8136013,144.9768864,Carpinus,16/10/1998,49,10,Park,1998
-37.81235039,144.9830284,Stenocarpus,16/10/1998,23,60,Park,1998
-37.81487717,144.9798829,Syzygium,4/12/2014,NA,NA,Park,2014
-37.81100739,144.9825302,Grevillea,6/6/2013,NA,NA,Park,2013
-37.81295751,144.9767193,Chamaerops,22/10/2019,NA,NA,Park,2019
-37.81451995,144.9804081,Phoenix,12/3/2015,NA,NA,Park,2015
-37.81456608,144.9806023,Tilia,13/10/1998,82,20,Park,1998
-37.81643685,144.9816385,Ulmus,,45,20,Park,NA
-37.81634801,144.9813346,Fraxinus,12/5/2020,NA,NA,Park,2020
-37.81216378,144.9805268,Ulmus,14/10/1998,100,20,Park,1998
-37.81498728,144.9749976,Ulmus,16/10/1998,121,10,Park,1998
-37.81287475,144.9824527,Prunus,16/10/1998,43,20,Park,1998
-37.81298957,144.9793159,Thuja,1/1/2000,NA,NA,Park,2000
-37.81452347,144.9828536,Ulmus,25/11/1997,77,20,Street,1997
-37.8132935,144.9816732,Quercus,12/12/2006,4,80,Park,2006
-37.81601384,144.9829324,Platanus,25/11/1997,36,10,Street,1997
-37.81626428,144.9806036,UNKNOWN,12/5/2020,NA,NA,Park,2020
-37.81218856,144.9814095,Quercus,16/10/1998,57,60,Park,1998
-37.81268594,144.97985,Livistona,,NA,NA,Street,NA
-37.81384109,144.9764611,Eucalyptus,25/06/2020,NA,NA,Park,2020
-37.8119534,144.9788592,Ulmus,14/10/1998,121,5,Park,1998
-37.81343282,144.979986,Ulmus,9/6/2020,NA,NA,Park,2020
-37.81385732,144.9803667,Ulmus,13/10/1998,94,10,Park,1998
-37.8151229,144.9781225,Populus,10/12/1998,103,20,Park,1998
-37.81094825,144.9751262,Pistacia,15/04/2020,NA,NA,Street,2020
-37.81543563,144.9790686,Schinus,10/12/1998,201,60,Park,1998
-37.8120941,144.9826707,Ulmus,16/10/1998,107,10,Park,1998
-37.81347997,144.9762713,Populus,1/1/2000,87,5,Park,2000
-37.81186884,144.9797553,Ligustrum,15/05/2015,NA,NA,Park,2015
-37.81511727,144.9809663,Ulmus,,NA,NA,Park,NA
-37.81566835,144.980578,Syzygium,2/1/2000,54,60,Park,2000
-37.81516237,144.9798075,Syzygium,4/12/2014,NA,NA,Park,2014
-37.81251646,144.9783396,Lophostemon,14/10/1998,68,30,Park,1998
-37.81256859,144.9816993,Ulmus,14/08/2017,NA,NA,Park,2017
-37.81640668,144.9818814,UNKNOWN,14/05/2020,NA,NA,Park,2020
-37.81504329,144.9830281,Ulmus,23/08/2019,NA,NA,Street,2019
-37.81574128,144.9754839,Eucalyptus,10/12/1998,33,20,Park,1998
-37.81469572,144.9814357,Ulmus,13/10/1998,101,10,Park,1998
-37.81622938,144.9799033,Firmiana,14/11/2016,NA,NA,Park,2016
-37.8122345,144.9794171,Syzygium,9/11/2011,NA,NA,Park,2011
-37.81439359,144.9809696,Ulmus,13/10/1998,125,10,Park,1998
-37.81595262,144.9772413,Araucaria,10/12/1998,27,80,Park,1998
-37.81640285,144.9818421,Backhousia,12/5/2020,NA,NA,Park,2020
-37.81174694,144.9812389,Ficus,16/10/1998,208,30,Park,1998
-37.81411325,144.9787489,Quercus,10/12/1998,80,60,Park,1998
-37.81303543,144.9764975,Chamaerops,22/10/2019,NA,NA,Park,2019
-37.81269832,144.9829905,Pittosporum,16/10/1998,70,20,Street,1998
-37.81518834,144.9798981,Acacia,2/9/2016,NA,NA,Park,2016
-37.81366881,144.9808303,Cedrus,13/10/1998,105,30,Park,1998
-37.81205413,144.9794774,Backhousia,31/07/2013,NA,NA,Park,2013
-37.81381457,144.9820628,Cedrus,14/07/2000,12,80,Park,2000
-37.8142156,144.9745939,Populus,2/1/2000,80,5,Park,2000
-37.81070998,144.98204,Grevillea,16/10/2012,NA,NA,Park,2012
-37.816299,144.9809357,Fraxinus,12/5/2020,NA,NA,Park,2020
-37.812776,144.9828802,Araucaria,14/07/2000,25,80,Park,2000
-37.81482877,144.9767226,Ficus,16/10/1998,180,20,Park,1998
-37.81459591,144.9805233,Pittosporum,11/10/2019,NA,NA,Park,2019
-37.81325811,144.9802397,Viburnum,7/7/2015,NA,NA,Park,2015
-37.81195233,144.9756388,Platanus,21/11/1997,32,10,Street,1997
-37.81251895,144.981779,Ulmus,15/10/1998,97,10,Park,1998
-37.81559254,144.9818593,Ulmus,,127,20,Park,NA
-37.81482428,144.9799463,Acacia,2/9/2016,NA,NA,Park,2016
-37.81441365,144.9821928,Araucaria,13/10/1998,122,60,Park,1998
-37.81222021,144.9794771,Trachycarpus,,NA,NA,Park,NA
-37.81128466,144.9780785,Corymbia,30/12/1999,20,60,Street,1999
-37.81557783,144.9814587,Cedrus,13/10/1998,76,20,Park,1998
-37.81132308,144.9782589,Ulmus,14/10/1998,72,5,Park,1998
-37.81397091,144.9754942,Cedrus,16/10/1998,78,30,Park,1998
-37.81432015,144.9828944,Ulmus,25/11/1997,70,10,Street,1997
-37.81552319,144.9811261,Cedrus,13/10/1998,94,30,Park,1998
-37.81132262,144.97882,Ficus,14/10/1998,NA,NA,Park,1998
-37.81540692,144.9785251,Araucaria,10/12/1998,80,30,Park,1998
-37.81348877,144.9769719,Ficus,16/08/2016,NA,NA,Park,2016
-37.81547655,144.9785019,Phoenix,10/12/1998,77,60,Park,1998
-37.8115456,144.9824792,Syagrus,1/9/2015,NA,NA,Park,2015
-37.81620576,144.9766273,Platanus,20/11/1997,57,10,Street,1997
-37.81574219,144.9755632,Corymbia,10/12/1998,15,10,Park,1998
-37.81571943,144.9808556,Cupressus,13/10/1998,68,30,Park,1998
-37.81198108,144.9758436,Platanus,21/11/1997,33,10,Street,1997
-37.81641649,144.9819752,UNKNOWN,22/07/2019,NA,NA,Park,2019
-37.81271201,144.9778408,Corymbia,1/1/2000,30,60,Street,2000
-37.81290928,144.9795422,Platanus,14/10/1998,NA,NA,Park,1998
-37.81126332,144.9826877,Grevillea,6/6/2013,NA,NA,Park,2013
-37.81483978,144.9799674,Syzygium,2/9/2016,NA,NA,Park,2016
-37.8137927,144.9808028,Washingtonia,13/10/1998,52,60,Park,1998
-37.81215072,144.9783849,Cedrus,14/10/1998,NA,NA,Park,1998
-37.81278524,144.9794083,Platanus,14/10/1998,48,1,Park,1998
-37.81658109,144.9812735,Pinus,10/9/1998,67,60,Park,1998
-37.81465912,144.9747909,Phoenix,16/10/1998,73,60,Park,1998
-37.81617604,144.9779191,Ulmus,26/08/2011,NA,NA,Park,2011
-37.81627874,144.9808475,Elaeocarpus,12/5/2020,NA,NA,Park,2020
-37.81103291,144.98241,Grevillea,6/6/2013,NA,NA,Park,2013
-37.81608722,144.9772444,Ulmus,10/12/1998,16,60,Park,1998
-37.81385799,144.9756251,Ficus,16/10/1998,89,20,Park,1998
-37.81563435,144.9769651,Schinus,24/08/2017,NA,NA,Street,2017
-37.8114514,144.98161,Cordyline,1/9/2015,NA,NA,Park,2015
-37.81504575,144.9763173,Quercus,16/10/1998,88,20,Park,1998
-37.81382687,144.9766716,Eucalyptus,15/11/2019,NA,NA,Park,2019
-37.81099019,144.9831251,Phoenix,15/10/1998,77,60,Park,1998
-37.81083687,144.9765523,Populus,29/05/2020,NA,NA,Street,2020
-37.81397351,144.9783466,Hesperocyparis,2/1/2000,34,20,Park,2000
-37.81276399,144.9802129,Populus,14/10/1998,167,10,Park,1998
-37.81310159,144.9767709,Cedrus,14/09/2009,2,80,Park,2009
-37.81147874,144.9823481,Cordyline,1/1/2000,102,80,Park,2000
-37.81446274,144.9798889,Ilex,2/1/2000,25,30,Park,2000
-37.8119172,144.9814878,Quercus,15/10/1998,58,60,Park,1998
-37.81479714,144.9799456,Syzygium,2/9/2016,NA,NA,Park,2016
-37.81202496,144.9793635,Polyscias,18/05/2015,NA,NA,Park,2015
-37.81529443,144.9798414,Syzygium,4/12/2014,NA,NA,Park,2014
-37.81646268,144.9801649,Pinus,10/9/1998,88,60,Park,1998
-37.81262943,144.9801494,Betula,14/10/1998,23,5,Park,1998
-37.816303,144.98108,Elaeocarpus,11/5/2020,NA,NA,Park,2020
-37.81645206,144.9823364,UNKNOWN,22/07/2019,NA,NA,Park,2019
-37.81235505,144.9829007,Magnolia,14/07/2000,NA,NA,Park,2000
-37.81599079,144.9781993,Pittosporum,10/12/1998,NA,NA,Park,1998
-37.81412198,144.9772161,Ulmus,16/10/1998,102,10,Park,1998
-37.81303215,144.9805318,Ulmus,14/10/1998,28,10,Park,1998
-37.81464713,144.9825071,Jacaranda,14/07/2000,10,80,Park,2000
-37.81346387,144.9828118,Syzygium,2/1/2000,52,60,Park,2000
-37.81412157,144.9783149,Cupressus,10/12/1998,NA,NA,Park,1998
-37.81465805,144.9796592,Tilia,10/12/1998,60,30,Park,1998
-37.8164536,144.9763036,Acer,17/06/2014,NA,NA,Street,2014
-37.81211101,144.9829533,Cupressus,2/1/2000,79,60,Park,2000
-37.81313605,144.9771506,Cedrus,20/01/2006,10,80,Park,2006
-37.8130508,144.9800324,Laurelia,17/11/2017,NA,NA,Park,2017
-37.81269768,144.9816964,Ulmus,,10,80,Park,NA
-37.81482601,144.9812083,Agathis,20/01/2006,12,80,Park,2006
-37.813147,144.9803397,Archontophoenix,8/5/2015,NA,NA,Park,2015
-37.81201841,144.9827554,Ulmus,16/10/1998,107,20,Park,1998
-37.81540283,144.97972,Acacia,2/9/2016,NA,NA,Park,2016
-37.81433769,144.9818721,Quercus,13/10/1998,69,20,Park,1998
-37.81218752,144.9793999,Hymenosporum,18/05/2015,NA,NA,Park,2015
-37.8131492,144.9805259,Ulmus,14/10/1998,113,20,Park,1998
-37.81185441,144.9787782,Ulmus,14/10/1998,120,10,Park,1998
-37.81355506,144.9814227,Cedrus,,85,20,Park,NA
-37.81405811,144.9778152,Ulmus,10/12/1998,141,20,Park,1998
-37.81608157,144.975668,Platanus,20/11/1997,59,5,Street,1997
-37.81188397,144.975096,Platanus,2/1/2000,50,30,Street,2000
-37.81614796,144.9792704,Elaeocarpus,14/05/2020,NA,NA,Park,2020
-37.81622863,144.9792029,Pinus,10/9/1998,71,60,Park,1998
-37.81187864,144.9779794,Corymbia,21/11/1997,36,60,Street,1997
-37.81592997,144.97476,Platanus,19/10/2012,NA,NA,Street,2012
-37.81338151,144.9753086,Phoenix,16/10/1998,65,60,Park,1998
-37.81490768,144.9819876,Agathis,20/01/2006,9,80,Park,2006
-37.81346408,144.9802793,Phoenix,7/7/2015,NA,NA,Park,2015
-37.81242968,144.9829432,Phoenix,16/10/1998,72,60,Park,1998
-37.8152654,144.9797201,Acacia,2/9/2016,NA,NA,Park,2016
-37.81548392,144.979903,Ulmus,10/12/1998,147,10,Park,1998
-37.81258644,144.9827568,Gleditsia,16/10/1998,77,30,Park,1998
-37.81638713,144.9818189,Elaeocarpus,11/5/2020,NA,NA,Park,2020
-37.8121952,144.9796585,Trachycarpus,18/05/2015,NA,NA,Park,2015
-37.81154002,144.9811545,Araucaria,16/10/1998,67,60,Park,1998
-37.81069004,144.98217,Quercus,31/07/2013,NA,NA,Park,2013
-37.815382,144.9798296,Nothofagus,10/6/2015,NA,NA,Park,2015
-37.81090897,144.9772397,Populus,29/05/2020,NA,NA,Street,2020
-37.81210721,144.9794254,UNKNOWN,18/05/2015,NA,NA,Park,2015
-37.81445694,144.9797875,Tilia,13/10/1998,65,30,Park,1998
-37.81641095,144.9797449,Pinus,10/9/1998,64,60,Park,1998
-37.81236466,144.97892,Platanus,14/10/1998,74,5,Park,1998
-37.81546406,144.9805261,Cedrus,13/10/1998,95,30,Park,1998
-37.81293611,144.9804127,Ulmus,14/10/1998,128,20,Park,1998
-37.81618073,144.9792739,Vitex,14/11/2016,NA,NA,Park,2016
-37.81194042,144.979069,Ulmus,14/10/1998,101,20,Park,1998
-37.81579416,144.9764842,Ulmus,10/12/1998,32,30,Park,1998
-37.81362728,144.9802793,Araucaria,13/10/1998,75,60,Park,1998
-37.81127017,144.9804426,Ficus,14/10/1998,131,30,Park,1998
-37.81316395,144.9807763,Ulmus,15/10/1998,121,20,Park,1998
-37.81111553,144.9750277,Pistacia,15/04/2020,NA,NA,Street,2020
-37.8116698,144.981854,Jubaea,15/10/1998,88,60,Park,1998
-37.81395961,144.9748106,Aesculus,16/10/1998,32,10,Park,1998
-37.81255109,144.9780632,Ulmus,14/10/1998,127,20,Park,1998
-37.81338171,144.9802317,Ficus,4/6/2015,NA,NA,Park,2015
-37.8116724,144.9791631,Ulmus,14/10/1998,84,30,Park,1998
-37.81138491,144.9808643,Ulmus,1/1/2000,13,80,Park,2000
-37.81468471,144.9816395,Eucalyptus,13/10/1998,121,30,Park,1998
-37.81161805,144.9803338,Ginkgo,19/03/2010,3,80,Park,2010
-37.81114026,144.9786542,Araucaria,14/10/1998,87,60,Park,1998
-37.81637105,144.9815484,Backhousia,12/5/2020,NA,NA,Park,2020
-37.81173942,144.9826249,Jacaranda,15/10/1998,48,20,Park,1998
-37.81256096,144.9789951,Platanus,14/10/1998,76,5,Park,1998
-37.8150959,144.9798362,Atherosperma,10/6/2015,NA,NA,Park,2015
-37.81534208,144.9795091,Syzygium,4/12/2014,NA,NA,Park,2014
-37.81628223,144.9808826,Elaeocarpus,12/5/2020,NA,NA,Park,2020
-37.81185189,144.9789728,Ulmus,14/10/1998,113,10,Park,1998
-37.81335406,144.9763646,Lagunaria,1/1/2000,60,30,Park,2000
-37.81266848,144.9791689,Platanus,14/10/1998,NA,NA,Park,1998
-37.81076719,144.9759063,Populus,29/05/2020,NA,NA,Street,2020
-37.8136452,144.9824334,Cedrus,16/10/1998,59,20,Park,1998
-37.81175294,144.9806012,Ulmus,14/10/1998,98,10,Park,1998
-37.81330585,144.9801909,Washingtonia,2/1/2000,NA,NA,Park,2000
-37.81091999,144.98241,Grevillea,6/6/2013,NA,NA,Park,2013
-37.8151607,144.9799099,Syzygium,2/9/2016,NA,NA,Park,2016
-37.81471026,144.9822209,Ulmus,13/10/1998,73,60,Park,1998
-37.81148525,144.9791591,Cupressus,14/10/1998,100,60,Park,1998
-37.81448296,144.9810521,Ulmus,13/10/1998,138,5,Park,1998
-37.81320243,144.9799884,Ulmus,14/10/1998,115,10,Park,1998
-37.81198994,144.979623,Chamaerops,9/11/2011,NA,NA,Park,2011
-37.81623872,144.9793185,Vitex,14/11/2016,NA,NA,Park,2016
-37.81335832,144.9812431,Syzygium,2/1/2000,49,30,Park,2000
-37.81586545,144.9770824,Ulmus,10/12/1998,45,30,Park,1998
-37.81475576,144.9764283,Ficus,16/10/1998,238,20,Park,1998
-37.81627944,144.9799372,Firmiana,14/11/2016,NA,NA,Park,2016
-37.81293286,144.9801021,Butia,22/09/2015,NA,NA,Park,2015
-37.8149908,144.9799609,Nothofagus,10/6/2015,NA,NA,Park,2015
-37.81288032,144.9825466,Araucaria,16/10/1998,100,60,Park,1998
-37.81084615,144.9815194,Afrocarpus,16/10/2012,NA,NA,Park,2012
-37.81280055,144.9813206,Ulmus,15/10/1998,110,10,Park,1998
-37.81619015,144.9797753,Fraxinus,12/5/2020,NA,NA,Park,2020
-37.81175178,144.9797084,Ligustrum,2/1/2000,NA,NA,Park,2000
-37.81574445,144.9809745,Phoenix,13/10/1998,75,60,Park,1998
-37.81217516,144.9794045,Washingtonia,,30,60,Park,NA
-37.8141416,144.9748238,Schinus,16/10/1998,79,60,Park,1998
-37.81488343,144.9817352,Agathis,20/01/2006,8,80,Park,2006
-37.8148493,144.9751644,Sequoia,1/1/2000,13,80,Park,2000
-37.81486667,144.9797278,Atherosperma,10/6/2015,NA,NA,Park,2015
-37.81388157,144.976939,Liriodendron,1/11/2007,3,60,Park,2007
-37.81227836,144.9805082,Ulmus,14/10/1998,93,20,Park,1998
-37.8141407,144.9818465,Quercus,5/6/2007,4,80,Park,2007
-37.81617881,144.9797603,Elaeocarpus,14/05/2020,NA,NA,Park,2020
-37.81607812,144.9781366,Ulmus,10/12/1998,77,30,Park,1998
-37.81487227,144.9823248,Agathis,20/01/2006,7,80,Park,2006
-37.81605813,144.9780013,Ulmus,10/12/1998,15,20,Park,1998
-37.81604321,144.9778724,Ulmus,10/12/1998,69,30,Park,1998
-37.813423,144.9777233,Corymbia,1/1/2000,23,60,Street,2000
-37.81185624,144.9761304,Platanus,1/1/2000,11,60,Street,2000
-37.8151213,144.9804133,Ficus,13/10/1998,179,30,Park,1998
-37.81426644,144.9791577,Ulmus,10/12/1998,186,20,Park,1998
-37.81147719,144.9800606,Ulmus,1/1/2000,22,80,Park,2000
-37.81231254,144.9814451,Quercus,12/12/2006,6,80,Park,2006
-37.81273169,144.9791816,Platanus,14/10/1998,76,5,Park,1998
-37.81634187,144.9814282,Elaeocarpus,11/5/2020,NA,NA,Park,2020
-37.81412097,144.9822047,Ficus,13/10/1998,234,60,Park,1998
-37.81211057,144.9824537,Ulmus,14/08/2017,NA,NA,Park,2017
-37.81412696,144.9791489,Quercus,10/12/1998,42,60,Park,1998
-37.81628682,144.9801256,Catalpa,14/11/2016,NA,NA,Park,2016
-37.81632097,144.9812502,Elaeocarpus,11/5/2020,NA,NA,Park,2020
-37.81260429,144.9790467,Platanus,14/10/1998,59,5,Park,1998
-37.81222082,144.9795024,Ficus,27/04/2012,NA,NA,Park,2012
-37.812578,144.9797988,Jacaranda,,NA,NA,Park,NA
-37.81225604,144.9779162,Corymbia,21/11/1997,33,60,Street,1997
