Latitude,Longitude,Genus,Date.Planted,Diameter.Breast.Height,Useful.Life.Expectency.Value,Located.in,Year.Planted
-37.81169689,144.9797503,Ulmus,14/10/1998,30,80,Park,1998
-37.8119501,144.9769461,Platanus,21/11/1997,10,30,Street,1997
-37.81517258,144.9798354,Acacia,16/10/2014,NA,NA,Park,2014
-37.81494155,144.9766254,Ficus,16/10/1998,NA,NA,Park,1998
-37.81282189,144.9803576,Archontophoenix,8/5/2015,NA,NA,Park,2015
-37.81656152,144.9792917,Platanus,26/11/1997,56,10,Street,1997
-37.81065001,144.98229,Grevillea,16/10/2012,NA,NA,Park,2012
-37.81249016,144.9827598,Araucaria,16/10/1998,NA,NA,Park,1998
-37.8147849,144.979789,Acacia,4/12/2014,NA,NA,Park,2014
-37.81481818,144.9829445,Tilia,11/8/2014,NA,NA,Street,2014
-37.81277695,144.9802964,Ligustrum,15/05/2015,NA,NA,Park,2015
-37.81349852,144.9803694,Syzygium,2/1/2000,84,30,Park,2000
-37.81639705,144.9817612,Fraxinus,12/5/2020,NA,NA,Park,2020
-37.81089891,144.9771422,Populus,29/05/2020,NA,NA,Street,2020
-37.81618694,144.9799506,Elaeocarpus,14/05/2020,NA,NA,Park,2020
-37.81522858,144.9774231,Corymbia,21/11/1997,36,60,Street,1997
-37.81635395,144.9815338,Elaeocarpus,11/5/2020,NA,NA,Park,2020
-37.81645815,144.9769563,Pyrus,29/09/2015,NA,NA,Street,2015
-37.81630456,144.9773164,Platanus,20/11/1997,70,10,Street,1997
-37.81563822,144.9801138,Livistona,2/1/2000,30,60,Park,2000
-37.81089726,144.9807527,Ulmus,14/10/1998,104,10,Park,1998
-37.8120041,144.9760031,Platanus,21/11/1997,42,10,Street,1997
-37.81540111,144.9782391,Corymbia,10/12/1998,68,30,Park,1998
-37.81537032,144.9783194,Araucaria,10/12/1998,99,60,Park,1998
-37.81272443,144.9783021,Lophostemon,14/10/1998,37,10,Park,1998
-37.8148644,144.9799522,Acacia,16/10/2014,NA,NA,Park,2014
-37.81535999,144.9794814,Atherosperma,10/6/2015,NA,NA,Park,2015
-37.81591663,144.9746339,Platanus,19/10/2012,NA,NA,Street,2012
-37.8106258,144.9812771,Ficus,15/10/1998,161,30,Park,1998
-37.81523557,144.9794728,Syzygium,16/10/2014,NA,NA,Park,2014
-37.81500618,144.9774604,Corymbia,1/1/2000,NA,NA,Street,2000
-37.8154711,144.9802849,Cedrus,19/03/2014,NA,NA,Park,2014
-37.81142409,144.9823194,Jacaranda,2/1/2000,50,20,Park,2000
-37.8138414,144.9771608,Ulmus,16/10/1998,148,30,Park,1998
-37.81245719,144.9816298,Quercus,15/10/1998,24,30,Park,1998
-37.81396246,144.9763762,Syzygium,2/1/2000,105,60,Park,2000
-37.81528144,144.9818059,Ulmus,13/10/1998,117,10,Park,1998
-37.81538019,144.9796244,Acacia,2/9/2016,NA,NA,Park,2016
-37.81149759,144.9823333,Phoenix,2/1/2000,34,10,Park,2000
-37.8128454,144.9775798,Ulmus,16/10/1998,119,20,Park,1998
-37.81202713,144.9800625,Corynocarpus,20/03/2017,NA,NA,Park,2017
-37.81191953,144.978587,Grevillea,14/10/1998,71,30,Park,1998
-37.81237128,144.9806298,Ulmus,14/10/1998,119,20,Park,1998
-37.81416119,144.9757113,Ficus,16/10/1998,61,30,Park,1998
-37.81441657,144.9799398,Magnolia,13/10/1998,NA,NA,Park,1998
-37.81414483,144.9759341,Cedrus,16/10/1998,68,20,Park,1998
-37.81625192,144.9806181,Elaeocarpus,12/5/2020,NA,NA,Park,2020
-37.81374337,144.9828088,Magnolia,14/07/2000,15,60,Park,2000
-37.81344913,144.9803638,Pittosporum,14/10/1998,28,20,Park,1998
-37.81306493,144.9800945,Laurelia,17/11/2017,NA,NA,Park,2017
-37.81389691,144.9816242,Ligustrum,13/10/1998,NA,NA,Park,1998
-37.81589145,144.9757425,Ulmus,10/12/1998,67,10,Park,1998
-37.81291585,144.9805396,Ulmus,14/10/1998,NA,NA,Park,1998
-37.81268317,144.9805922,Ulmus,14/10/1998,32,10,Park,1998
-37.81620784,144.9801917,Elaeocarpus,12/5/2020,NA,NA,Park,2020
-37.81601823,144.9776243,Ulmus,10/12/1998,72,20,Park,1998
-37.81161037,144.9814258,Cordyline,2/1/2000,24,10,Park,2000
-37.8163021,144.9809645,Grevillea,12/5/2020,NA,NA,Park,2020
-37.81062999,144.98211,Grevillea,16/10/2012,NA,NA,Park,2012
-37.81577925,144.9763404,Ulmus,10/12/1998,NA,NA,Park,1998
-37.81617007,144.9763602,Platanus,20/11/1997,81,10,Street,1997
-37.81130561,144.9827362,Grevillea,6/6/2013,NA,NA,Park,2013
-37.81287492,144.9800342,Grevillea,27/07/2016,NA,NA,Park,2016
-37.81408558,144.9776099,Corymbia,24/11/2015,NA,NA,Street,2015
-37.81509132,144.9799684,Syzygium,4/12/2014,NA,NA,Park,2014
-37.81651249,144.9805784,Pinus,10/9/1998,NA,NA,Park,1998
-37.81628599,144.9809182,Elaeocarpus,12/5/2020,NA,NA,Park,2020
-37.81284936,144.9799576,Stenocarpus,22/09/2015,NA,NA,Park,2015
-37.81107417,144.978479,Chamaerops,14/10/1998,0,60,Park,1998
-37.81432986,144.978647,Brahea,13/10/1998,70,60,Park,1998
-37.81163918,144.98236,Syagrus,4/5/2015,NA,NA,Park,2015
-37.81474149,144.9793859,Ficus,4/12/2014,NA,NA,Park,2014
-37.81364803,144.9766012,Eucalyptus,25/06/2020,NA,NA,Park,2020
-37.81586775,144.9821221,Syzygium,2/1/2000,38,10,Park,2000
-37.81142724,144.9814936,Brachychiton,2/1/2000,NA,NA,Park,2000
-37.81536496,144.9822258,Quercus,13/10/1998,27,80,Park,1998
-37.8151968,144.9763499,Lagunaria,2/1/2000,58,30,Park,2000
-37.81636588,144.9816307,Elaeocarpus,11/5/2020,NA,NA,Park,2020
-37.81571648,144.9814827,Stenocarpus,13/10/1998,30,30,Park,1998
-37.81463642,144.9772972,Ulmus,16/10/1998,131,20,Park,1998
-37.81508048,144.9822636,Pinus,13/10/1998,110,20,Park,1998
-37.81131195,144.9813077,Quercus,12/12/2006,5,80,Park,2006
-37.8145208,144.9763588,Ficus,16/10/1998,226,60,Park,1998
-37.8106153,144.9818786,Pinus,31/07/2013,NA,NA,Park,2013
-37.81083126,144.9784343,Ficus,6/6/2013,NA,NA,Park,2013
-37.81616056,144.977779,Ulmus,10/12/1998,13,60,Park,1998
-37.8165522,144.9809811,Pinus,10/9/1998,82,60,Park,1998
-37.81250671,144.982011,Ulmus,16/10/1998,94,10,Park,1998
-37.81549218,144.9814357,Ficus,13/10/1998,208,60,Park,1998
-37.81220093,144.9792833,Ulmus,14/10/1998,126,10,Park,1998
-37.81162395,144.9818503,Cordyline,4/5/2015,NA,NA,Park,2015
-37.81622913,144.9802723,Grevillea,12/5/2020,NA,NA,Park,2020
-37.81188127,144.9803486,Cupressus,14/10/1998,98,30,Park,1998
-37.81523064,144.9797162,Syzygium,2/9/2016,NA,NA,Park,2016
-37.81615559,144.9762254,Platanus,20/11/1997,64,20,Street,1997
-37.81295471,144.9783925,Melaleuca,14/10/1998,83,30,Park,1998
-37.81484212,144.9797462,Nothofagus,10/6/2015,NA,NA,Park,2015
-37.81136125,144.9810403,Acer,2/1/2000,34,60,Park,2000
-37.81182451,144.9807388,Ulmus,14/10/1998,105,20,Park,1998
-37.81095199,144.9796982,Ficus,14/10/1998,211,60,Park,1998
-37.81138264,144.981247,Quercus,1/1/2000,78,60,Park,2000
-37.81206325,144.9797939,Cordyline,18/05/2015,NA,NA,Park,2015
-37.8109192,144.9817116,Araucaria,15/10/1998,21,80,Park,1998
-37.81328272,144.9812279,Populus,15/10/1998,118,10,Park,1998
-37.81097073,144.9767746,Platanus,1/1/2000,23,30,Street,2000
-37.81158515,144.9755108,Platanus,21/11/1997,32,20,Street,1997
-37.81462585,144.9800727,Ulmus,13/10/1998,146,10,Park,1998
-37.81149928,144.9755222,Platanus,21/11/1997,46,20,Street,1997
-37.81290715,144.9801954,Magnolia,1/10/2019,NA,NA,Park,2019
-37.81511349,144.9799213,Syzygium,4/12/2014,NA,NA,Park,2014
-37.81229488,144.9791913,Ulmus,14/10/1998,105,10,Park,1998
-37.81384697,144.9764727,Eucalyptus,25/06/2020,NA,NA,Park,2020
-37.81618318,144.9798212,Elaeocarpus,14/05/2020,NA,NA,Park,2020
